StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;DistributionChannel;UserLanguage;Q_RecaptchaScore;Q_RelevantIDDuplicate;Q_RelevantIDDuplicateScore;Q_RelevantIDFraudScore;Q_RelevantIDLastStartDate;Q3;Q4;Q5;Q6;Q8_1;Q8_2;Q9_1;Q9_2;Q9_3;Q9_4;Q9_5;Q9_6;Q9_7;Q11;Q10_1;Q10_2;Q10_3;Q10_4;Q10_5;Q19_1;Q19_2;Q19_3;Q19_4;Q19_5;Q19_6;Q19_7;Q19_8;Q19_9;Q19_10;Q19_11;Q19_12;Q23_1;Q23_2;Q23_3;Q23_4;Q23_5;Q23_6;Q23_7;Q23_8;Q23_9;Q23_10;Q23_11;Q23_12;Q27_1;Q27_2;Q27_3;Q27_4;Q27_5;Q27_6;Q27_7;Q27_8;Q27_9;Q26_1;Q26_2;Q26_3;Q26_4;Q26_5;Q26_6;Q26_7;Q26_8;Q26_9;Q15;Q13_1;Q13_2;Q13_3;Q13_4;Q13_5;Q13_6;Q13_7;opp;gc;term;Q_BallotBoxStuffing;Q_TotalDuration;expected_loi;expected_ir;expected_n;geo_IP;Q_CHL;rid;RISN;LS;transaction_id;SVID;PS;psid;K2;med;_k;entrySigCheck;DisplayOrder;V;tg;orderNumber
Start Date;End Date;Response Type;Progress;Duration (in seconds);Finished;Recorded Date;Response ID;Distribution Channel;User Language;Q_RecaptchaScore;Q_RelevantIDDuplicate;Q_RelevantIDDuplicateScore;Q_RelevantIDFraudScore;Q_RelevantIDLastStartDate;Kuinka vanha olet?;Sukupuolesi?;Missä sinä asut?;Mikä on korkein suorittamasi kouluaste tai tutkinto?;Kuinka tyytyväinen olet demokratian toimivuuteen? Arvioi demokratian toimivuutta asteikolla nollasta kymmeneen, missä 0 on ”en ollenkaan tyytyväinen” ja 10 ”erittäin tyytyväinen”. - Kuinka tyytyväinen olet demokratian toimivuuteen Suomessa?;Kuinka tyytyväinen olet demokratian toimivuuteen? Arvioi demokratian toimivuutta asteikolla nollasta kymmeneen, missä 0 on ”en ollenkaan tyytyväinen” ja 10 ”erittäin tyytyväinen”. - Kuinka tyytyväinen olet demokratian toimivuuteen EU:ssa?;Kuinka paljon luotat tai et luota seuraaviin tahoihin? Arvioi kutakin  tahoa asteikolla nollasta kymmeneen, missä 0 on ”en luota ollenkaan” ja  10 ”luotan täysin”. - Eduskunta;Kuinka paljon luotat tai et luota seuraaviin tahoihin? Arvioi kutakin  tahoa asteikolla nollasta kymmeneen, missä 0 on ”en luota ollenkaan” ja  10 ”luotan täysin”. - Suomen poliittiset puolueet;Kuinka paljon luotat tai et luota seuraaviin tahoihin? Arvioi kutakin  tahoa asteikolla nollasta kymmeneen, missä 0 on ”en luota ollenkaan” ja  10 ”luotan täysin”. - Suomen hallitus (valtioneuvosto);Kuinka paljon luotat tai et luota seuraaviin tahoihin? Arvioi kutakin  tahoa asteikolla nollasta kymmeneen, missä 0 on ”en luota ollenkaan” ja  10 ”luotan täysin”. - Suomalaiset poliitikot;Kuinka paljon luotat tai et luota seuraaviin tahoihin? Arvioi kutakin  tahoa asteikolla nollasta kymmeneen, missä 0 on ”en luota ollenkaan” ja  10 ”luotan täysin”. - Euroopan unioni;Kuinka paljon luotat tai et luota seuraaviin tahoihin? Arvioi kutakin  tahoa asteikolla nollasta kymmeneen, missä 0 on ”en luota ollenkaan” ja  10 ”luotan täysin”. - Oikeuslaitos;Kuinka paljon luotat tai et luota seuraaviin tahoihin? Arvioi kutakin  tahoa asteikolla nollasta kymmeneen, missä 0 on ”en luota ollenkaan” ja  10 ”luotan täysin”. - Suomen Pankki;Kuinka kiinnostunut olet politiikasta?;Mitä mieltä olet seuraavasta väittämästä? - Demokratialla voi olla ongelmansa, mutta se on parempi kuin muut hallitusmuodot.;Mitä mieltä olet seuraavasta väittämästä? - Demokratia ei ole tehokas hallitusmuoto, ja olisi parempi, että Suomea johtaisi vahva johtaja, jonka ei tarvitsisi välittää vaaleista.;Mitä mieltä olet seuraavasta väittämästä? - On tärkeää, että Suomessa toimii vapaa ja poliittisesti riippumaton media.;Mitä mieltä olet seuraavasta väittämästä? - Kansalaisten oikeutta poliittiseen osallistumiseen ei tulisi rajoittaa.;Mitä mieltä olet seuraavasta väittämästä? - Oikeuslaitosta kohtaan ei tule kohdistaa poliittista painostusta.;Jos vertaat edellisen hallituksen kauteen: mitä mieltä olet seuraavien alojen kehityksestä, onko kehitys mennyt parempaan vai huonompaan suuntaan? - Sosiaali- ja terveydenhuolto;Jos vertaat edellisen hallituksen kauteen: mitä mieltä olet seuraavien alojen kehityksestä, onko kehitys mennyt parempaan vai huonompaan suuntaan? - Vanhustenhoito;Jos vertaat edellisen hallituksen kauteen: mitä mieltä olet seuraavien alojen kehityksestä, onko kehitys mennyt parempaan vai huonompaan suuntaan? - Koulu ja koulutus;Jos vertaat edellisen hallituksen kauteen: mitä mieltä olet seuraavien alojen kehityksestä, onko kehitys mennyt parempaan vai huonompaan suuntaan? - Maahanmuutto ja pakolaiset;Jos vertaat edellisen hallituksen kauteen: mitä mieltä olet seuraavien alojen kehityksestä, onko kehitys mennyt parempaan vai huonompaan suuntaan? - Vähemmistöjen oikeudet;Jos vertaat edellisen hallituksen kauteen: mitä mieltä olet seuraavien alojen kehityksestä, onko kehitys mennyt parempaan vai huonompaan suuntaan? - Ympäristö ja ilmasto;Jos vertaat edellisen hallituksen kauteen: mitä mieltä olet seuraavien alojen kehityksestä, onko kehitys mennyt parempaan vai huonompaan suuntaan? - Verotus;Jos vertaat edellisen hallituksen kauteen: mitä mieltä olet seuraavien alojen kehityksestä, onko kehitys mennyt parempaan vai huonompaan suuntaan? - Yritysten toimintaedellytykset;Jos vertaat edellisen hallituksen kauteen: mitä mieltä olet seuraavien alojen kehityksestä, onko kehitys mennyt parempaan vai huonompaan suuntaan? - Työllisyys;Jos vertaat edellisen hallituksen kauteen: mitä mieltä olet seuraavien alojen kehityksestä, onko kehitys mennyt parempaan vai huonompaan suuntaan? - Laki ja järjestys;Jos vertaat edellisen hallituksen kauteen: mitä mieltä olet seuraavien alojen kehityksestä, onko kehitys mennyt parempaan vai huonompaan suuntaan? - Puolustus;Jos vertaat edellisen hallituksen kauteen: mitä mieltä olet seuraavien alojen kehityksestä, onko kehitys mennyt parempaan vai huonompaan suuntaan? - Ulko- ja turvallisuuspoliittiset kysymykset;Onko mielestäsi kehitys seuraavilla aloilla ollut seurausta hallituksen politiikasta vai muista syistä? - Sosiaali- ja terveydenhuolto;Onko mielestäsi kehitys seuraavilla aloilla ollut seurausta hallituksen politiikasta vai muista syistä? - Vanhustenhoito;Onko mielestäsi kehitys seuraavilla aloilla ollut seurausta hallituksen politiikasta vai muista syistä? - Koulu ja koulutus;Onko mielestäsi kehitys seuraavilla aloilla ollut seurausta hallituksen politiikasta vai muista syistä? - Maahanmuutto ja pakolaiset;Onko mielestäsi kehitys seuraavilla aloilla ollut seurausta hallituksen politiikasta vai muista syistä? - Vähemmistöjen oikeudet;Onko mielestäsi kehitys seuraavilla aloilla ollut seurausta hallituksen politiikasta vai muista syistä? - Ympäristö ja ilmasto;Onko mielestäsi kehitys seuraavilla aloilla ollut seurausta hallituksen politiikasta vai muista syistä? - Verotus;Onko mielestäsi kehitys seuraavilla aloilla ollut seurausta hallituksen politiikasta vai muista syistä? - Yritysten toimintaedellytykset;Onko mielestäsi kehitys seuraavilla aloilla ollut seurausta hallituksen politiikasta vai muista syistä? - Työllisyys;Onko mielestäsi kehitys seuraavilla aloilla ollut seurausta hallituksen politiikasta vai muista syistä? - Laki ja järjestys;Onko mielestäsi kehitys seuraavilla aloilla ollut seurausta hallituksen politiikasta vai muista syistä? - Puolustus;Onko mielestäsi kehitys seuraavilla aloilla ollut seurausta hallituksen politiikasta vai muista syistä? - Ulko- ja turvallisuuspoliittiset kysymykset;Kuinka lähellä seuraavat eduskuntapuolueet ovat omia poliittisia mielipiteitäsi asteikolla 0–10? 0 tarkoittaa, että puolue ei ole lainkaan lähellä ja 10, että puolue on erittäin lähellä poliittisia mielipiteitäsi. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Suomen Sosialidemokraattinen Puolue (SDP);Kuinka lähellä seuraavat eduskuntapuolueet ovat omia poliittisia mielipiteitäsi asteikolla 0–10? 0 tarkoittaa, että puolue ei ole lainkaan lähellä ja 10, että puolue on erittäin lähellä poliittisia mielipiteitäsi. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Perussuomalaiset (PS);Kuinka lähellä seuraavat eduskuntapuolueet ovat omia poliittisia mielipiteitäsi asteikolla 0–10? 0 tarkoittaa, että puolue ei ole lainkaan lähellä ja 10, että puolue on erittäin lähellä poliittisia mielipiteitäsi. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Kansallinen Kokoomus (KOK);Kuinka lähellä seuraavat eduskuntapuolueet ovat omia poliittisia mielipiteitäsi asteikolla 0–10? 0 tarkoittaa, että puolue ei ole lainkaan lähellä ja 10, että puolue on erittäin lähellä poliittisia mielipiteitäsi. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Suomen Keskusta (KESK);Kuinka lähellä seuraavat eduskuntapuolueet ovat omia poliittisia mielipiteitäsi asteikolla 0–10? 0 tarkoittaa, että puolue ei ole lainkaan lähellä ja 10, että puolue on erittäin lähellä poliittisia mielipiteitäsi. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Vihreä liitto (VIHR);Kuinka lähellä seuraavat eduskuntapuolueet ovat omia poliittisia mielipiteitäsi asteikolla 0–10? 0 tarkoittaa, että puolue ei ole lainkaan lähellä ja 10, että puolue on erittäin lähellä poliittisia mielipiteitäsi. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Vasemmistoliitto (VAS);Kuinka lähellä seuraavat eduskuntapuolueet ovat omia poliittisia mielipiteitäsi asteikolla 0–10? 0 tarkoittaa, että puolue ei ole lainkaan lähellä ja 10, että puolue on erittäin lähellä poliittisia mielipiteitäsi. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Suomen ruotsalainen kansanpuolue (RKP);Kuinka lähellä seuraavat eduskuntapuolueet ovat omia poliittisia mielipiteitäsi asteikolla 0–10? 0 tarkoittaa, että puolue ei ole lainkaan lähellä ja 10, että puolue on erittäin lähellä poliittisia mielipiteitäsi. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Suomen Kristillisdemokraatit (KD);Kuinka lähellä seuraavat eduskuntapuolueet ovat omia poliittisia mielipiteitäsi asteikolla 0–10? 0 tarkoittaa, että puolue ei ole lainkaan lähellä ja 10, että puolue on erittäin lähellä poliittisia mielipiteitäsi. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Liike Nyt;Mitä mieltä olet seuraavista eduskuntapuolueista asteikolla 0–10? 0 tarkoittaa, että et pidä puolueesta lainkaan ja 10, että pidät puolueesta erittäin paljon. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Suomen Sosialidemokraattinen Puolue (SDP);Mitä mieltä olet seuraavista eduskuntapuolueista asteikolla 0–10? 0 tarkoittaa, että et pidä puolueesta lainkaan ja 10, että pidät puolueesta erittäin paljon. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Perussuomalaiset (PS);Mitä mieltä olet seuraavista eduskuntapuolueista asteikolla 0–10? 0 tarkoittaa, että et pidä puolueesta lainkaan ja 10, että pidät puolueesta erittäin paljon. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Kansallinen Kokoomus (KOK);Mitä mieltä olet seuraavista eduskuntapuolueista asteikolla 0–10? 0 tarkoittaa, että et pidä puolueesta lainkaan ja 10, että pidät puolueesta erittäin paljon. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Suomen Keskusta (KESK);Mitä mieltä olet seuraavista eduskuntapuolueista asteikolla 0–10? 0 tarkoittaa, että et pidä puolueesta lainkaan ja 10, että pidät puolueesta erittäin paljon. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Vihreä liitto (VIHR);Mitä mieltä olet seuraavista eduskuntapuolueista asteikolla 0–10? 0 tarkoittaa, että et pidä puolueesta lainkaan ja 10, että pidät puolueesta erittäin paljon. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Vasemmistoliitto (VAS);Mitä mieltä olet seuraavista eduskuntapuolueista asteikolla 0–10? 0 tarkoittaa, että et pidä puolueesta lainkaan ja 10, että pidät puolueesta erittäin paljon. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Suomen ruotsalainen kansanpuolue (RKP);Mitä mieltä olet seuraavista eduskuntapuolueista asteikolla 0–10? 0 tarkoittaa, että et pidä puolueesta lainkaan ja 10, että pidät puolueesta erittäin paljon. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Suomen Kristillisdemokraatit (KD);Mitä mieltä olet seuraavista eduskuntapuolueista asteikolla 0–10? 0 tarkoittaa, että et pidä puolueesta lainkaan ja 10, että pidät puolueesta erittäin paljon. Jos et tiedä jostain puolueesta tarpeeksi, sinun ei tarvitse arvioida sitä. - Liike Nyt;Minkä puolueen tai ryhmittymän ehdokasta äänestit vuoden 2023 eduskuntavaaleissa?;Mitä mieltä olet seuraavista väittämistä? - Hallituksen on voitava sensuroida tiedotusvälineitä, jotka ovat kohtuuttoman kriittisiä hallitusta kohtaan.;Mitä mieltä olet seuraavista väittämistä? - Mielenosoitusoikeutta on suojeltava, vaikka mielenosoitus hankaloittaisi muiden arkea.;Mitä mieltä olet seuraavista väittämistä? - Hallituksen pitäisi voida olla välittämättä sellaisista tuomioistuinten päätöksistä, joita se pitää poliittisesti puolueellisina.;Mitä mieltä olet seuraavista väittämistä? - Kansanedustajien pitäisi voida kyseenalaistaa ja valvoa hallituksen päätöksiä, vaikka se hidastaisi päätösten toimeenpanoa.;Mitä mieltä olet seuraavista väittämistä? - Hallituksen pitäisi voida venyttää lainsäädännön rajoja ratkaistakseen kiireellisiä yhteiskunnallisia ongelmia.;Mitä mieltä olet seuraavista väittämistä? - Maamme toimisi paremmin, jos poliittiset päätökset jätettäisiin riippumattomien, EI vaaleilla valittujen asiantuntijoiden tehtäväksi poliitikkojen sijasta.;Mitä mieltä olet seuraavista väittämistä? - Maamme toimisi paremmin, jos poliittiset päätökset jätettäisiin menestyneiden yritysjohtajien tehtäväksi poliitikkojen sijasta.;opp;gc;term;Q_BallotBoxStuffing;Q_TotalDuration;expected_loi;expected_ir;expected_n;geo_IP;Q_CHL;rid;RISN;LS;transaction_id;SVID;PS;psid;K2;med;_k;entrySigCheck;DisplayOrder;V;tg;orderNumber
09-01-25 3:16;09-01-25 3:18;IP Address;100;97;True;09-01-25 3:18;R_8Mbc06PCxjRN5JT;anonymous;FI;1;;0;0;;25-34;Mies;Länsi-Suomi;Ylioppilastutkinto;10;10;Luotan täysin 10;Luotan täysin 10;Luotan täysin 10;7;7;6;8;Jonkin verran kiinnostunut;Täysin samaa mieltä;Täysin samaa mieltä;Ei samaa eikä eri mieltä;Jokseenkin eri mieltä;Ei samaa eikä eri mieltä;Paljon huonompaan;Jonkin verran parempaan;Jonkin verran huonompaan;Jonkin verran huonompaan;Pysynyt samana;Paljon huonompaan;En osaa sanoa;Paljon huonompaan;Paljon huonompaan;Jonkin verran huonompaan;Jonkin verran huonompaan;Jonkin verran huonompaan;9;7;7;4;5;5;5;7;7;6;9;7;5;5;7;8;2;6;5;7;1;6;6;7;2;6;6;En pidä ollenkaan 0;2;En pidä ollenkaan 0;Vasemmistoliitto (VAS);Täysin samaa mieltä;Täysin samaa mieltä;Jokseenkin eri mieltä;Jokseenkin eri mieltä;Jokseenkin eri mieltä;Jokseenkin samaa mieltä;Täysin samaa mieltä;Qual73530196-3004-Finland;1;;;97;10;0.6;1500;FI;anonymous;;;;6OUO9LjRt0MPf3FyiMpuv7;37679796;341;849ef96f-4314-e130-ac32-18151384ecf8;;;;;;;;
09-01-25 3:16;09-01-25 3:19;IP Address;100;191;True;09-01-25 3:19;R_2j7ipjUTsGJVjuy;anonymous;FI;0,600000024;;0;0;;25-34;Mies;Helsinki ja Uusimaa;Ylempi opistoaste tai ammattikorkeakoulututkinto;8;7;9;9;9;9;9;9;9;Hyvin kiinnostunut;Täysin samaa mieltä;Täysin samaa mieltä;Jokseenkin samaa mieltä;Jokseenkin samaa mieltä;Jokseenkin samaa mieltä;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;9;9;9;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;8;8;8;8;9;9;9;9;8;9;8;8;Vasemmistoliitto (VAS);Jokseenkin samaa mieltä;Jokseenkin samaa mieltä;Jokseenkin samaa mieltä;Jokseenkin samaa mieltä;Jokseenkin samaa mieltä;Jokseenkin samaa mieltä;Jokseenkin samaa mieltä;Qual73530196-3004-Finland;1;;;191;10;0.6;1500;FI;anonymous;;;;4yWiwuLtIIXBAlbt5EFpkr;37679796;341;71291e58-11a2-e616-657d-b04c61c9b9a3;;;;;;;;
09-01-25 3:16;09-01-25 3:19;IP Address;100;201;True;09-01-25 3:19;R_21RgODddnpvlUIX;anonymous;FI;0,800000012;;0;0;;35-44;Nainen;Helsinki ja Uusimaa;Ammattitutkinto;6;5;Luotan täysin 10;7;1;9;6;3;4;Hyvin kiinnostunut;Täysin samaa mieltä;Täysin eri mieltä;Ei samaa eikä eri mieltä;Täysin samaa mieltä;Jokseenkin samaa mieltä;Pysynyt samana;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Jonkin verran huonompaan;Pysynyt samana;Jonkin verran parempaan;4;6;9;2;4;9;5;Kehitys johtuu täysin hallituksen politiikasta 10;4;8;2;7;2;4;7;Erittäin lähellä 10;9;9;7;5;3;2;4;2;1;1;1;4;7;6;Vihreä liitto (VIHR);Jokseenkin eri mieltä;Ei samaa eikä eri mieltä;Ei samaa eikä eri mieltä;Jokseenkin eri mieltä;Jokseenkin samaa mieltä;Jokseenkin samaa mieltä;Täysin samaa mieltä;Qual73530196-3004-Finland;1;;;201;10;0.6;1500;FI;anonymous;;;;4Zm1rmvDneLWnIztdoH8Jm;37679796;341;a816c668-9afa-fa3f-1935-1e260fff8d56;;;;;;;;
09-01-25 3:17;09-01-25 3:20;IP Address;100;172;True;09-01-25 3:20;R_2E4W2PbxHlPW2nl;anonymous;FI;1;;0;0;;18-24;Mies;Helsinki ja Uusimaa;Ammattitutkinto;0;6;En luota ollenkaan 0;1;1;1;8;1;Luotan täysin 10;Jonkin verran kiinnostunut;Ei samaa eikä eri mieltä;Jokseenkin samaa mieltä;Ei samaa eikä eri mieltä;Ei samaa eikä eri mieltä;Jokseenkin samaa mieltä;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Pysynyt samana;Paljon huonompaan;Paljon huonompaan;Pysynyt samana;Paljon huonompaan;Paljon huonompaan;Jonkin verran huonompaan;Pysynyt samana;5;6;7;7;6;5;7;6;5;6;6;6;Erittäin lähellä 10;9;8;7;6;7;8;7;7;9;8;7;6;7;8;9;8;7;Suomen Sosialidemokraattinen Puolue (SDP);Täysin samaa mieltä;Jokseenkin samaa mieltä;Täysin samaa mieltä;Ei samaa eikä eri mieltä;Täysin samaa mieltä;Täysin samaa mieltä;En osaa sanoa;Qual73530196-3004-Finland;1;;;172;10;0.6;1500;FI;anonymous;;;;6e1mQROJ2C7q0jlW6a4axo;37679796;341;eb06a888-4123-7986-8928-1f009b06677d;;;;;;;;
09-01-25 3:16;09-01-25 3:20;IP Address;100;240;True;09-01-25 3:20;R_8ffb9k5By3W73eT;anonymous;FI;1;;0;0;;35-44;Mies;Helsinki ja Uusimaa;Ammattitutkinto;2;0;En luota ollenkaan 0;1;En luota ollenkaan 0;En luota ollenkaan 0;1;1;En luota ollenkaan 0;Jonkin verran kiinnostunut;Täysin samaa mieltä;Täysin eri mieltä;Täysin samaa mieltä;Täysin samaa mieltä;Täysin samaa mieltä;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;Paljon huonompaan;9;9;Kehitys johtuu täysin hallituksen politiikasta 10;9;Kehitys johtuu täysin hallituksen politiikasta 10;Kehitys johtuu täysin hallituksen politiikasta 10;Kehitys johtuu täysin hallituksen politiikasta 10;Kehitys johtuu täysin hallituksen politiikasta 10;Kehitys johtuu täysin hallituksen politiikasta 10;Kehitys johtuu täysin hallituksen politiikasta 10;Kehitys johtuu täysin hallituksen politiikasta 10;Kehitys johtuu täysin hallituksen politiikasta 10;1;Ei lainkaan lähellä 0;Ei lainkaan lähellä 0;Ei lainkaan lähellä 0;9;7;Ei lainkaan lähellä 0;Ei lainkaan lähellä 0;Ei lainkaan lähellä 0;1;En pidä ollenkaan 0;En pidä ollenkaan 0;En pidä ollenkaan 0;9;7;En pidä ollenkaan 0;En pidä ollenkaan 0;En pidä ollenkaan 0;Vihreä liitto (VIHR);Täysin eri mieltä;Täysin samaa mieltä;Ei samaa eikä eri mieltä;Täysin samaa mieltä;Täysin eri mieltä;Täysin eri mieltä;Täysin eri mieltä;Qual73530196-3004-Finland;1;;;240;10;0.6;1500;FI;anonymous;;;;1NgKQEtW5RhguJofd3jOvL;37679796;341;b89c46fb-4e87-0f37-320e-77cf432582f5;;;;;;;;
